rank,word,score,non_overlapping_word,non_overlapping_score
9371,photo,42.208824648155186,sared,88.85393685812096
9372,debye,42.20121719284899,sorta,77.91441612780525
9373,thunk,42.19931532902243,soare,90.64511220996577
9374,convo,42.19893495625713,sared,88.85393685812096
9375,ferer,42.18486116394066,salty,74.36059338151388
9376,ology,42.18181818181819,sared,88.85393685812096
9377,regex,42.17192848992012,salty,74.36059338151388
9378,yeven,42.168505135032326,sorta,77.91441612780525
9379,unman,42.164701407379226,sored,83.68276911373147
9380,iodic,42.15100798782807,saner,88.61658425256752
9381,thill,42.138836059338146,soare,90.64511220996577
9382,flock,42.136553822746286,sared,88.85393685812096
9383,appui,42.13503233168505,sored,83.68276911373147
9384,skool,42.131228604031946,raine,87.00304298212248
9385,gutty,42.130467858501326,soare,90.64511220996577
9386,ezine,42.127424876378846,sorta,77.91441612780525
9387,yeuky,42.125142639786986,sorta,77.91441612780525
9388,pipul,42.11182959300113,soare,90.64511220996577
9389,greve,42.10498288322556,salty,74.36059338151388
9390,chico,42.10346139216432,sared,88.85393685812096
9391,okrug,42.10346139216432,saine,87.3351084062381
9392,tappa,42.10079878280715,sored,83.68276911373147
9393,gippy,42.097755800684666,soare,90.64511220996577
9394,fluyt,42.09243058197033,soare,90.64511220996577
9395,jazzy,42.0874857360213,sored,83.68276911373147
9396,quonk,42.06542411563332,sared,88.85393685812096
9397,egest,42.051350323316846,roany,77.0228223659186
9398,droog,42.05020920502092,saine,87.3351084062381
9399,teste,42.041460631418786,roany,77.0228223659186
9400,exite,42.038417649296306,soral,77.79954355268163
9401,feoff,42.033092430581966,sarin,77.06466337010269
9402,melee,42.03195131228604,sorta,77.91441612780525
9403,macaw,42.02548497527577,sored,83.68276911373147
9404,deled,42.02510460251046,sorta,77.91441612780525
9405,yacka,42.01825789273488,sored,83.68276911373147
9406,embox,42.007227082540886,sarin,77.06466337010269
9407,gulch,42.00570559147964,soare,90.64511220996577
9408,gobbi,42.00152149106124,sared,88.85393685812096
9409,tombo,41.99847850893876,sared,88.85393685812096
9410,phono,41.99809813617345,sared,88.85393685812096
9411,mythi,41.9847850893876,soare,90.64511220996577
9412,wrung,41.966146823887414,salet,86.30353746671739
9413,crumb,41.95891974134652,saine,87.3351084062381
9414,scowp,41.958539368581214,raile,87.0532521871434
9415,unjam,41.95853936858121,sored,83.68276911373147
9416,hedge,41.95777862305058,sorta,77.91441612780525
9417,imaum,41.95663750475466,sored,83.68276911373147
9418,lummy,41.95321414986687,soare,90.64511220996577
9419,phlox,41.95283377710155,sared,88.85393685812096
9420,indow,41.95131228604032,sater,87.73183720045645
9421,whack,41.95131228604031,sored,83.68276911373147
9422,jatha,41.94712818562191,sored,83.68276911373147
9423,recce,41.93799923925447,salty,74.36059338151388
9424,hevel,41.90642829973373,sorta,77.91441612780525
9425,snook,41.90414606314188,raile,87.0532521871434
9426,gumbo,41.90262457208064,sared,88.85393685812096
9427,swoll,41.89996196272347,raine,87.00304298212248
